id;scope;group;territory;parent_region;title;quality;availability;period;temporal_status;pages;size_bytes;sha256;source_filename;pdf_url;original_url;official_url;act;revision;quality_note
federal-regional-leaders-kpi;federal;strategic;Российская Федерация;;Показатели оценки эффективности деятельности высших должностных лиц субъектов Российской Федерации;full;available;до 2036 года;active;5;77130;a2cf3d0ad3ee043a05adc910921e6402179228842bc44f145807462b6e7ed9d3;5. Показатели оценки эффективности деятельности высших должностных лиц субъектов РФ.doc;./documents/strategies/strategic/federal-regional-leaders-kpi.pdf;./documents/strategies/source/federal-regional-leaders-kpi.doc;;Указ Президента Российской Федерации от 28.11.2024 № 1014;;
federal-demographic-concept-2025;federal;strategic;Российская Федерация;;Концепция демографической политики Российской Федерации на период до 2025 года;full;available;до 2025 года;historical;13;120284;3778af1b49aad945bcf4944c22635f0ef387ae96785645371dd09711e48c164f;6. Концепция демографической политики РФ на период до 2025 года.rtf;./documents/strategies/strategic/federal-demographic-concept-2025.pdf;./documents/strategies/source/federal-demographic-concept-2025.rtf;;Указа Президента Российской Федерации от 01.07.2014 № 483;;
federal-demographic-plan-2021-2025;federal;strategic;Российская Федерация;;План мероприятий по реализации в 2021-2025 годах Концепции демографической политики Российской Федерации до 2025 года;full;available;2021-2025 годы;historical;16;595366;e6ae492e72e0bf98995e4d1543033417b57c7013ba9c566f0faa95498874ae7e;7. План мероприятий по реализации в 2021-2025 годах Концепции демографической политики РФ до 2025 года.pdf;./documents/strategies/strategic/federal-demographic-plan-2021-2025.pdf;;;Указом Президента Российской Федерации от 9 октября 2007 г. N 1351;23 января 2024 года;
federal-family-policy-concept-2025;federal;strategic;Российская Федерация;;Концепция государственной семейной политики в Российской Федерации на период до 2025 года;full;available;до 2025 года;historical;16;310805;679bf73b7371a80a92b4e15cff89486890a2613fc38eead89564420e35e1b5e1;8. Концепция государственной семейной политики в РФ на период до 2025 года.pdf;./documents/strategies/strategic/federal-family-policy-concept-2025.pdf;;;Распоряжение Правительства РФ от 25 августа 2014 г. № 1618-р;;
federal-family-demographic-strategy-2036;federal;strategic;Российская Федерация;;Стратегия действий по реализации семейной и демографической политики, поддержке многодетности в Российской Федерации до 2036 года;full;available;до 2036 года;active;46;612605;5b4431feb9bcf0139d147753efa4387ae73b54f98bc4f09939ddc5770190ecfa;9. Стратегия действий по реализации семейной и демографической политики, поддержке многодетности в РФ до 2036 года.pdf;./documents/strategies/strategic/federal-family-demographic-strategy-2036.pdf;;https://publication.pravo.gov.ru/document/0001202503240023;РАСПОРЯЖЕНИЕ от 15 марта 2025 г. № 615-р;;
federal-traditional-values;federal;strategic;Российская Федерация;;Основы государственной политики по сохранению и укреплению традиционных российских духовно-нравственных ценностей;full;available;до 2030 года;active;10;99658;e1ca7a02737c9004c201d90908af4c2f2306a8c57a0cdce6b2de893c48d74072;10. Основы государственной политики по сохранению и укреплению традиционных российских духовно-нравственных ценностей.rtf;./documents/strategies/strategic/federal-traditional-values.pdf;./documents/strategies/source/federal-traditional-values.rtf;;Указ вступает в силу со дня его подписания. Президент Российской Федерации В.Путин Москва, Кремль 9 ноября 2022 года № 809 УТВЕРЖДЕНЫ Указом Президента Российской Федерации от 9 ноября 2022 г. № 809;;
federal-demographic-policy-measures;federal;strategic;Российская Федерация;;Меры по реализации демографической политики Российской Федерации;full;available;период не установлен;undated;7;79112;7c128fcf4f57dea961691a3191f00d4b332bbe0fa9eb882da1fd2df7b89a4e1f;11. Меры по реализации демографической политики РФ.rtf;./documents/strategies/strategic/federal-demographic-policy-measures.pdf;./documents/strategies/source/federal-demographic-policy-measures.rtf;;УКАЗ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ О мерах по реализации демографической политики Российской Федерации (В редакции указов Президента Российской Федерации от 18.10.2017 № 487;;
federal-large-family-support;federal;strategic;Российская Федерация;;Меры социальной поддержки многодетных семей;full;available;период не установлен;undated;7;83435;91e22179e102794da14daf7896459ebfc23cf1dd0e9949ace6728bd3dd8d268a;12. Меры социальной поддержки многодетных семей.rtf;./documents/strategies/strategic/federal-large-family-support.pdf;./documents/strategies/source/federal-large-family-support.rtf;;Указу Президента Российской Федерации от 25 февраля 2003 г. № 250;;
methodology-demographic-potential;federal;methodology;Российская Федерация;;Методические рекомендации по оценке демографического потенциала субъекта Российской Федерации и разработке региональных программ по повышению рождаемости;full;available;период не установлен;undated;39;1361845;d90d22a08f204a9103c49d3f68c519d7697064108a56c3049ee0d533ed1f05dc;Об_утверждении_Методических_рекомендаций_по_оценке_демографического_потенциала_субъекта_Российской_Ф.pdf;./documents/strategies/methodology/methodology-demographic-potential.pdf;;;приказ Министерства труда и социальной защиты Российской Федерации от 3 марта 2023 г. № 129;;
methodology-birth-targets;federal;methodology;Российская Федерация;;Методика расчёта целевых значений показателя «Число родившихся» на период до 2030 года;full;available;до 2030 года;active;11;518030;7d44188d15898589224fb39bfcd5979198050bb0ada81568cee0ced4edd668a5;Об_утверждении_методики_расчета_целевых_значений_показателя_Число_родившихся_на_период_до_2030_года.pdf;./documents/strategies/methodology/methodology-birth-targets.pdf;;;Приказ Минтруда России от 31 июля 2024 г. № 386;;
methodology-program-update;federal;methodology;Российская Федерация;;Методические рекомендации по актуализации региональных программ по повышению рождаемости;full;available;до 2036 года;active;15;446931;0b73e1ff48079a07e92eebb9c1bb041c292c0ba008b49673bb955f40cd149b78;Об_утверждении_методических_рекомендаций_по_актуализации_региональных_программ_по_повышению_рождаемо.pdf;./documents/strategies/methodology/methodology-program-update.pdf;;;Приказ Минтруда России от 31 июля 2024 г. № 387;2 ноября 2024 года;
