document_id;scope;territory;quality;token_count;reliability;cash_support_matches;cash_support_per_10000_words;housing_matches;housing_per_10000_words;childcare_matches;childcare_per_10000_words;reproductive_health_matches;reproductive_health_per_10000_words;student_families_matches;student_families_per_10000_words;large_families_matches;large_families_per_10000_words;work_family_balance_matches;work_family_balance_per_10000_words;employers_matches;employers_per_10000_words;fatherhood_matches;fatherhood_per_10000_words;family_values_matches;family_values_per_10000_words;rural_territories_matches;rural_territories_per_10000_words;monitoring_matches;monitoring_per_10000_words
regional-respublika-buriatiia;regional;Республика Бурятия;full;13094;standard;38;29,02;43;32,84;15;11,46;34;25,97;8;6,11;36;27,49;5;3,82;3;2,29;1;0,76;4;3,05;4;3,05;2;1,53
regional-respublika-dagestan;regional;Республика Дагестан;full;11103;standard;33;29,72;30;27,02;33;29,72;35;31,52;4;3,6;27;24,32;3;2,7;0;0,0;0;0,0;2;1,8;14;12,61;10;9,01
regional-respublika-ingushetiia;regional;Республика Ингушетия;full;9947;standard;3;3,02;20;20,11;28;28,15;21;21,11;6;6,03;26;26,14;10;10,05;2;2,01;0;0,0;10;10,05;14;14,07;4;4,02
regional-respublika-kalmykiia;regional;Республика Калмыкия;full;8669;standard;38;43,83;27;31,15;30;34,61;18;20,76;3;3,46;17;19,61;5;5,77;0;0,0;0;0,0;16;18,46;11;12,69;5;5,77
regional-respublika-kareliia;regional;Республика Карелия;full;13449;standard;46;34,2;54;40,15;39;29,0;29;21,56;12;8,92;19;14,13;4;2,97;1;0,74;0;0,0;11;8,18;5;3,72;4;2,97
regional-respublika-komi;regional;Республика Коми;full;21174;standard;54;25,5;55;25,98;73;34,48;32;15,11;11;5,2;27;12,75;8;3,78;5;2,36;4;1,89;12;5,67;21;9,92;5;2,36
regional-respublika-krym;regional;Республика Крым;full;16526;standard;24;14,52;61;36,91;72;43,57;61;36,91;5;3,03;35;21,18;14;8,47;0;0,0;0;0,0;11;6,66;15;9,08;7;4,24
regional-respublika-marii-el;regional;Республика Марий Эл;partial;5574;limited;87;156,08;0;0,0;0;0,0;0;0,0;7;12,56;16;28,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
regional-respublika-mordoviia;regional;Республика Мордовия;full;25918;standard;56;21,61;97;37,43;66;25,46;113;43,6;14;5,4;57;21,99;14;5,4;20;7,72;4;1,54;32;12,35;13;5,02;9;3,47
regional-respublika-sakha-iakutiia;regional;Республика Саха (Якутия);full;8366;standard;54;64,55;32;38,25;2;2,39;5;5,98;5;5,98;40;47,81;1;1,2;0;0,0;5;5,98;5;5,98;7;8,37;3;3,59
regional-respublika-severnaia-osetiia-alaniia;regional;Республика Северная Осетия — Алания;full;17369;standard;62;35,7;82;47,21;25;14,39;27;15,54;6;3,45;37;21,3;13;7,48;1;0,58;3;1,73;3;1,73;20;11,51;4;2,3
regional-respublika-tatarstan-tatarstan;regional;Республика Татарстан (Татарстан);full;16346;standard;40;24,47;95;58,12;33;20,19;47;28,75;5;3,06;35;21,41;4;2,45;4;2,45;2;1,22;11;6,73;15;9,18;8;4,89
regional-respublika-tyva;regional;Республика Тыва;full;8996;standard;40;44,46;27;30,01;32;35,57;55;61,14;4;4,45;6;6,67;7;7,78;0;0,0;0;0,0;2;2,22;5;5,56;7;7,78
regional-respublika-khakasiia;regional;Республика Хакасия;full;13812;standard;48;34,75;74;53,58;56;40,54;33;23,89;8;5,79;67;48,51;5;3,62;0;0,0;0;0,0;4;2,9;13;9,41;4;2,9
regional-rostovskaia-oblast;regional;Ростовская область;full;20640;standard;50;24,22;48;23,26;37;17,93;34;16,47;10;4,84;23;11,14;7;3,39;6;2,91;0;0,0;10;4,84;16;7,75;6;2,91
regional-riazanskaia-oblast;regional;Рязанская область;full;18719;standard;84;44,87;53;28,31;30;16,03;28;14,96;26;13,89;61;32,59;7;3,74;1;0,53;6;3,21;14;7,48;3;1,6;14;7,48
regional-samarskaia-oblast;regional;Самарская область;full;24433;standard;78;31,92;71;29,06;52;21,28;43;17,6;15;6,14;31;12,69;8;3,27;11;4,5;3;1,23;11;4,5;16;6,55;12;4,91
regional-sankt-peterburg;regional;Санкт-Петербург;full;10595;standard;52;49,08;59;55,69;22;20,76;27;25,48;12;11,33;35;33,03;10;9,44;0;0,0;0;0,0;15;14,16;0;0,0;5;4,72
regional-saratovskaia-oblast;regional;Саратовская область;full;12396;standard;59;47,6;21;16,94;4;3,23;66;53,24;14;11,29;53;42,76;9;7,26;1;0,81;0;0,0;7;5,65;12;9,68;8;6,45
regional-sakhalinskaia-oblast;regional;Сахалинская область;full;17228;standard;65;37,73;78;45,28;66;38,31;32;18,57;10;5,8;35;20,32;8;4,64;4;2,32;0;0,0;5;2,9;23;13,35;12;6,97
regional-sverdlovskaia-oblast;regional;Свердловская область;full;15625;standard;64;40,96;31;19,84;38;24,32;24;15,36;18;11,52;60;38,4;8;5,12;6;3,84;7;4,48;5;3,2;4;2,56;7;4,48
regional-sevastopol;regional;Севастополь;full;8506;standard;31;36,44;31;36,44;31;36,44;45;52,9;4;4,7;32;37,62;6;7,05;2;2,35;1;1,18;9;10,58;1;1,18;10;11,76
regional-smolenskaia-oblast;regional;Смоленская область;full;21665;standard;70;32,31;74;34,16;55;25,39;47;21,69;19;8,77;60;27,69;6;2,77;8;3,69;4;1,85;7;3,23;19;8,77;6;2,77
regional-stavropolskii-krai;regional;Ставропольский край;full;11891;standard;58;48,78;22;18,5;23;19,34;68;57,19;10;8,41;27;22,71;0;0,0;3;2,52;2;1,68;12;10,09;7;5,89;18;15,14
regional-tambovskaia-oblast;regional;Тамбовская область;full;18132;standard;47;25,92;65;35,85;50;27,58;38;20,96;16;8,82;47;25,92;7;3,86;0;0,0;2;1,1;20;11,03;10;5,52;7;3,86
regional-tverskaia-oblast;regional;Тверская область;full;12625;standard;50;39,6;81;64,16;23;18,22;23;18,22;7;5,54;67;53,07;7;5,54;4;3,17;2;1,58;17;13,47;18;14,26;7;5,54
regional-tomskaia-oblast;regional;Томская область;full;9601;standard;18;18,75;13;13,54;8;8,33;32;33,33;6;6,25;11;11,46;4;4,17;0;0,0;1;1,04;3;3,12;2;2,08;3;3,12
regional-tulskaia-oblast;regional;Тульская область;full;17069;standard;64;37,49;67;39,25;25;14,65;55;32,22;16;9,37;58;33,98;10;5,86;12;7,03;3;1,76;11;6,44;8;4,69;25;14,65
regional-tiumenskaia-oblast;regional;Тюменская область;full;13162;standard;46;34,95;28;21,27;52;39,51;32;24,31;8;6,08;8;6,08;6;4,56;4;3,04;1;0,76;1;0,76;0;0,0;18;13,68
regional-udmurtskaia-respublika;regional;Удмуртская Республика;full;18173;standard;60;33,02;76;41,82;54;29,71;24;13,21;12;6,6;51;28,06;5;2,75;1;0,55;3;1,65;20;11,01;31;17,06;7;3,85
regional-ulianovskaia-oblast;regional;Ульяновская область;full;988;limited;7;70,85;22;222,67;0;0,0;1;10,12;5;50,61;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
regional-khabarovskii-krai;regional;Хабаровский край;full;14888;standard;77;51,72;64;42,99;23;15,45;35;23,51;15;10,08;43;28,88;4;2,69;4;2,69;7;4,7;14;9,4;7;4,7;14;9,4
regional-khanty-mansiiskii-avtonomnyi-okrug-iugra;regional;Ханты-Мансийский автономный округ — Югра;full;2931;standard;4;13,65;9;30,71;0;0,0;0;0,0;0;0,0;7;23,88;0;0,0;0;0,0;0;0,0;3;10,24;0;0,0;0;0,0
